CustomerID,Quantity,UnitPrice,InvoiceDate
16804.0,4,2.1,2011-11-16 16:42:00
16416.0,10,1.65,2011-11-13 12:50:00
15555.0,6,0.85,2010-12-05 14:45:00
15189.0,-1,5.95,2011-01-27 15:49:00
17894.0,2,1.45,2010-12-14 10:38:00
12762.0,12,0.39,2011-12-02 10:23:00
17765.0,12,1.65,2011-05-13 12:34:00
17511.0,36,2.1,2011-01-05 12:40:00
17735.0,3,4.95,2011-10-05 15:24:00
15189.0,96,1.25,2011-09-07 15:13:00
12757.0,3,0.85,2011-10-06 14:59:00
15466.0,2,1.65,2011-09-15 14:08:00
14837.0,12,1.25,2011-06-26 11:47:00
17750.0,24,0.39,2011-07-15 17:29:00
15532.0,2,7.95,2010-12-16 16:45:00
13263.0,1,3.75,2011-03-06 12:46:00
12748.0,1,4.25,2011-11-23 13:57:00
17829.0,6,4.95,2011-02-14 12:46:00
14292.0,6,2.95,2011-03-02 08:26:00
12937.0,3,4.95,2011-05-26 14:17:00
12748.0,5,2.1,2011-05-11 13:42:00
14159.0,1,2.55,2011-07-18 11:47:00
14044.0,3,1.65,2011-02-03 11:39:00
15039.0,2,4.15,2011-05-16 10:50:00
14432.0,2,0.39,2011-10-23 15:29:00
14096.0,2,0.83,2011-10-10 17:12:00
12662.0,2,8.5,2011-07-19 13:45:00
13647.0,12,2.1,2011-11-30 12:00:00
13365.0,8,0.83,2011-11-06 12:36:00
17430.0,12,0.85,2011-11-07 09:24:00
17894.0,2,1.49,2010-12-22 13:46:00
16347.0,1,0.39,2011-11-03 13:01:00
13113.0,50,4.15,2011-03-30 12:45:00
14096.0,1,16.63,2011-11-23 13:39:00
13098.0,-2,4.25,2011-04-12 11:59:00
12841.0,7,0.85,2011-10-19 12:52:00
18004.0,1,1.25,2010-12-12 13:47:00
17162.0,25,0.42,2011-03-07 14:45:00
16817.0,12,2.95,2011-11-07 12:39:00
12841.0,1,5.95,2011-10-27 12:08:00
17589.0,20,1.25,2011-04-13 13:47:00
17343.0,6,0.29,2010-12-19 15:07:00
17372.0,2,1.45,2011-10-30 11:37:00
17286.0,1,8.5,2011-11-18 12:47:00
18118.0,5,2.08,2011-04-10 11:14:00
14911.0,2,6.25,2011-10-10 12:37:00
16303.0,16,1.65,2011-08-16 11:04:00
16701.0,72,0.19,2011-08-02 12:11:00
17870.0,1,1.45,2011-07-27 17:01:00
17904.0,3,3.25,2011-11-18 12:57:00
14748.0,12,1.65,2010-12-06 10:24:00
16139.0,25,0.42,2011-11-21 08:37:00
14583.0,2,0.65,2011-06-27 12:28:00
15750.0,3,1.65,2011-09-28 13:00:00
14554.0,2,1.65,2011-10-18 13:04:00
16700.0,6,4.95,2011-06-13 08:40:00
13883.0,24,0.55,2011-03-31 17:17:00
13755.0,2,0.79,2011-10-07 15:45:00
17633.0,10,2.08,2011-11-08 13:25:00
16628.0,5,2.1,2011-04-19 08:55:00
12490.0,6,4.15,2011-11-02 14:51:00
13209.0,24,0.42,2011-04-26 11:04:00
14680.0,50,2.55,2011-05-10 12:11:00
14911.0,24,0.29,2011-10-11 14:59:00
14854.0,24,1.25,2011-06-23 09:53:00
15525.0,1,0.55,2011-12-07 14:43:00
16386.0,2,2.08,2011-11-11 12:28:00
12727.0,6,2.55,2011-02-16 11:45:00
12379.0,3,15.0,2011-06-22 16:32:00
16904.0,1,4.15,2011-06-30 12:04:00
13018.0,12,1.25,2011-09-08 12:01:00
14911.0,4,3.25,2011-11-18 15:53:00
12714.0,4,4.95,2011-05-17 09:28:00
14189.0,12,0.85,2011-05-23 10:34:00
16003.0,12,2.08,2011-11-10 09:56:00
16033.0,2,6.25,2011-11-06 13:53:00
14546.0,8,1.69,2011-10-30 11:47:00
13658.0,10,2.08,2011-09-15 13:20:00
17015.0,4,1.25,2011-06-07 13:19:00
13975.0,20,0.21,2011-11-08 13:10:00
13982.0,12,1.25,2010-12-09 13:57:00
13319.0,4,4.95,2011-06-23 10:14:00
15078.0,10,2.08,2011-08-09 12:21:00
13871.0,2,8.5,2011-07-28 12:50:00
17841.0,2,2.95,2011-09-23 12:38:00
18118.0,1,1.25,2011-11-29 11:32:00
17611.0,1,2.95,2011-03-13 15:25:00
14527.0,1,12.75,2011-01-31 12:18:00
17061.0,48,1.45,2011-05-13 14:57:00
14829.0,10,1.95,2010-12-14 09:50:00
14446.0,1,1.25,2011-12-09 11:34:00
16554.0,4,4.95,2011-10-28 14:51:00
14895.0,12,1.25,2011-02-22 13:08:00
13301.0,2,8.95,2011-07-04 13:35:00
16367.0,6,0.29,2011-11-02 13:13:00
14002.0,24,0.29,2011-07-28 15:55:00
16705.0,10,2.08,2011-10-31 14:36:00
14769.0,16,0.65,2011-01-19 10:56:00
13555.0,5,8.5,2011-09-27 12:26:00
17576.0,3,2.1,2011-10-18 17:04:00
13507.0,24,0.19,2011-08-24 15:12:00
13523.0,2,9.95,2010-12-08 14:22:00
14911.0,2,11.95,2011-11-16 17:03:00
14646.0,12,0.29,2010-12-20 10:09:00
14088.0,32,2.55,2011-11-23 15:44:00
18077.0,6,1.45,2011-12-01 13:32:00
16945.0,30,2.08,2011-10-12 15:41:00
16438.0,2,9.95,2011-11-13 11:39:00
14562.0,3,2.55,2011-10-16 14:07:00
12759.0,12,0.42,2011-06-21 09:26:00
14446.0,6,1.25,2011-04-07 12:10:00
16814.0,10,6.75,2011-02-18 13:10:00
14493.0,24,0.85,2011-12-02 16:14:00
16549.0,1,4.95,2011-11-29 14:38:00
17841.0,1,2.1,2011-11-20 15:00:00
17827.0,6,0.85,2010-12-10 11:01:00
14096.0,3,1.63,2011-09-21 14:40:00
15436.0,1,1.65,2011-04-19 16:52:00
13425.0,10,1.65,2011-02-18 08:34:00
15140.0,3,4.95,2011-10-18 14:07:00
16463.0,20,0.42,2011-11-18 14:01:00
17706.0,4,1.65,2011-06-05 10:50:00
14503.0,24,0.29,2011-09-30 14:59:00
14096.0,8,6.63,2011-10-31 14:09:00
15628.0,12,0.85,2010-12-08 09:51:00
13098.0,25,0.42,2011-04-06 12:41:00
14277.0,24,2.55,2011-05-11 13:20:00
15498.0,12,1.25,2011-03-07 13:37:00
18109.0,-1,12.75,2011-09-09 13:54:00
